h1_rank,h1_suit,h2_rank,h2_suit,c1_rank,c1_suit,c2_rank,c2_suit,c3_rank,c3_suit,c4_rank,c4_suit,c5_rank,c5_suit,num_opponents,equity
5,1,10,2,11,1,7,3,13,1,4,2,4,3,2,0.0
7,3,13,0,5,3,12,3,14,3,0,0,0,0,2,16.65
12,3,7,3,2,3,4,3,6,2,3,2,0,0,2,19.45
9,0,3,3,13,3,10,3,5,2,5,0,2,3,3,0.0
11,3,8,0,4,1,7,1,9,1,0,0,0,0,1,19.35
8,3,9,3,5,1,3,1,10,3,4,0,0,0,2,1.7
8,1,3,2,12,0,7,0,6,3,12,3,5,3,4,0.0
9,3,4,3,11,1,6,2,3,1,9,2,11,0,4,8.1
6,0,14,3,11,1,5,2,2,3,0,0,0,0,4,2.2
4,2,14,3,7,1,11,2,3,1,0,0,0,0,1,11.3
6,0,14,0,14,2,9,2,8,1,10,1,0,0,5,5.8
14,0,12,0,8,1,14,3,2,0,10,1,0,0,4,8.6
8,3,14,0,14,1,13,1,13,2,4,0,8,0,1,57.5
3,0,13,1,8,1,2,3,9,2,12,0,11,3,1,0.0
4,0,7,1,6,3,8,2,3,3,0,0,0,0,1,24.0
6,3,11,1,14,0,6,1,14,3,12,2,14,1,5,12.95
2,2,14,2,13,1,11,0,9,1,13,2,0,0,4,0.9
7,0,13,3,9,1,5,0,3,2,7,1,0,0,4,8.5
5,0,7,2,13,0,8,3,12,1,13,3,14,0,1,0.0
4,2,14,1,8,0,6,3,3,0,0,0,0,0,2,6.0
13,0,10,0,13,2,9,0,8,1,0,0,0,0,1,53.3
9,3,9,0,9,1,13,0,6,0,0,0,0,0,5,71.7
4,0,5,3,3,2,11,1,12,2,0,0,0,0,4,4.0
13,3,4,2,5,3,12,0,14,0,9,1,0,0,2,2.1
7,1,2,1,4,1,6,0,14,2,3,3,10,1,1,0.0
14,0,10,0,2,1,14,1,10,2,5,2,12,0,1,90.2
7,2,3,3,8,0,14,1,7,3,0,0,0,0,4,13.85
9,0,12,1,9,1,11,0,5,3,0,0,0,0,5,11.9
2,3,8,1,12,1,11,2,7,2,0,0,0,0,1,11.75
3,2,11,0,9,1,2,2,12,2,12,1,4,2,1,0.0
9,3,7,1,4,3,4,0,9,1,0,0,0,0,4,12.35
10,0,8,0,12,3,4,0,11,3,2,3,0,0,5,4.45
12,2,12,3,5,1,3,0,11,0,7,3,0,0,1,41.1
3,0,8,2,8,1,11,0,2,3,8,3,5,2,3,83.5
9,0,6,2,12,1,14,2,13,0,11,2,9,1,4,0.6
2,0,6,0,7,2,9,2,11,3,12,1,0,0,1,4.5
8,1,7,2,3,0,8,0,3,2,5,2,13,3,3,15.05
12,3,3,2,12,1,6,2,5,3,0,0,0,0,1,52.7
6,2,3,3,2,1,4,0,12,0,0,0,0,0,5,12.65
13,2,8,1,3,1,3,2,7,2,0,0,0,0,4,2.3
9,3,2,2,3,3,11,1,12,3,10,3,0,0,2,16.85
11,0,4,3,14,3,7,0,14,0,6,0,8,1,2,0.0
12,1,8,1,3,2,5,2,4,2,0,0,0,0,4,0.6
2,2,2,1,14,1,3,0,6,2,8,3,5,1,4,0.85
13,1,6,2,14,3,6,1,7,2,0,0,0,0,2,29.05
10,0,5,0,4,0,14,0,8,1,0,0,0,0,3,30.9
3,0,11,0,7,1,4,1,8,0,5,3,0,0,3,0.45
9,2,3,1,8,3,7,0,6,0,0,0,0,0,2,17.95
11,1,5,2,3,3,13,3,9,0,0,0,0,0,4,2.05
12,3,9,1,8,1,3,0,4,1,0,0,0,0,3,4.25
7,0,11,2,4,3,2,1,4,2,4,1,12,3,1,0.0
9,1,5,3,7,3,6,1,3,3,12,3,0,0,3,15.05
10,0,14,3,10,3,4,2,13,2,0,0,0,0,1,51.55
8,1,8,3,4,0,3,2,8,0,3,3,0,0,4,87.05
12,2,5,1,5,2,2,3,4,3,13,3,0,0,2,18.05
3,3,8,1,10,1,5,0,14,1,0,0,0,0,5,1.85
4,3,3,1,8,2,12,1,2,0,0,0,0,0,1,12.75
13,3,3,1,3,3,6,1,11,2,0,0,0,0,3,19.8
6,1,2,2,14,0,12,3,11,0,0,0,0,0,2,4.0
14,3,4,3,9,2,12,1,3,2,8,0,9,0,3,0.0
12,0,13,2,7,0,9,1,14,2,0,0,0,0,3,3.5
3,0,14,0,10,0,12,2,8,0,8,2,3,1,3,15.25
5,3,11,0,9,3,11,3,13,2,0,0,0,0,3,16.95
10,0,2,1,13,3,7,1,9,2,4,3,0,0,3,0.6
8,1,10,2,8,0,14,3,2,0,0,0,0,0,4,13.45
12,1,11,1,7,2,8,0,13,2,6,3,9,1,2,0.0
5,2,3,3,4,2,10,2,3,0,12,2,9,1,4,1.35
9,2,4,3,10,1,3,3,9,1,11,1,0,0,3,8.4
9,2,8,1,7,3,2,0,7,2,5,3,0,0,5,6.55
14,2,2,1,3,1,13,1,7,3,0,0,0,0,4,3.05
13,2,4,1,11,1,2,3,14,0,0,0,0,0,1,12.1
9,1,14,1,7,0,6,0,12,0,13,2,8,3,3,0.0
2,1,12,2,2,0,11,3,2,3,12,1,8,0,5,92.7
14,1,8,0,14,0,9,3,8,2,0,0,0,0,2,68.9
14,0,4,2,5,3,10,0,2,0,3,2,13,3,5,0.0
14,3,8,1,3,3,5,1,3,2,10,2,4,3,4,0.0
5,0,3,3,4,2,3,2,14,0,10,2,12,0,2,13.8
3,0,2,0,9,1,7,1,6,0,0,0,0,0,4,4.75
5,2,6,3,9,1,4,1,6,0,8,3,0,0,1,47.95
7,0,11,0,8,1,10,2,10,0,0,0,0,0,1,27.6
5,2,10,2,10,3,14,2,13,2,0,0,0,0,2,52.35
14,3,7,0,2,3,9,2,9,0,4,1,0,0,1,6.4
12,0,13,3,6,1,4,2,12,2,8,0,0,0,2,23.35
7,2,11,3,2,0,10,1,10,2,0,0,0,0,5,2.6
3,1,13,0,10,1,11,1,8,2,8,1,0,0,3,5.8
11,3,11,0,9,1,12,0,12,3,6,0,0,0,2,24.1
5,2,2,1,14,1,5,3,2,3,12,0,0,0,4,60.55
14,1,13,0,2,2,13,2,13,1,12,2,0,0,1,85.2
5,1,13,1,13,3,6,1,12,0,8,2,0,0,1,48.5
14,2,10,1,8,1,8,2,4,1,5,3,12,3,5,0.0
11,3,8,0,13,1,13,0,6,2,6,1,0,0,1,0.0
4,1,2,3,2,1,6,3,11,3,8,2,2,0,4,78.55
8,0,4,1,13,3,14,0,9,3,10,2,9,1,3,0.0
8,3,8,2,10,3,9,3,10,2,0,0,0,0,2,27.5
8,2,7,1,10,3,7,0,2,3,0,0,0,0,1,50.35
4,2,13,2,4,1,5,0,10,3,13,3,0,0,1,84.2
7,3,6,2,6,0,11,0,14,0,12,0,7,1,3,16.25
